NIL
Ayutthaya - Bangpain (AB)
Ayutthaya - Nakorn Luang (ANL)
Bahodopi (BHDP)
Balikpapan (BPN)
Bang Sapan (BS)
Bangkok (BK)
Bangpakong (BAK)
Banyuwangi - Tanjung Wangi (BJU)
Batam (BAT)
Beihai (BHY)
Belawan (BRW)
Benoa (Bali) (BAO)
Bintan (BTN)
Bintulu (BIN)
Bitung (BIT)
Bontang (BXT)
Bourbon (BOUR)
Brunei (BRU)
Cai Lan (CLN)
Cam Pha (CPH)
Can Tho (VCA)
Cat Lai (CLI)
Cayagan de Oro City (Macabalan wharf) (CDO)
Century Harbour (MHI)
Chantaburi LaemSing (CLS)
Chittagong (CTG)
Cigading (CIG)
Danang (DAD)
Davao (Sasa Wharf) (DVO)
Dhaka (DKA)
Dumai (DMI)
Dung Quat (DQT)
Fangcheng (FAN)
Futong (FTG)
Godau port  (GDP)
Haiphong (HPH)
Halong Bay (HLG)
HO CHI MINH (HCM)
Hon Gai (HON)
Hong Kong (HKG)
Jakarta (JAK)
Jambi (JBI)
K.K. Kota Kinabalu (KK)
Kampot (KMP)
Kantang (KTG)
Kedah (KKH)
Kelantan (KLT)
Kemaman (KMN)
Khanom (KHM)
Ko Sichang (KSI)
Kolkata (CCU)
Kor Samui (KSM)
Kuantan (KT)
Kuching (KUC)
Labuan (LBN)
Laem Chabang (LCB)
Lahad Datu (LDU)
Lhokseumawe (LHOK)
Lumut (LUM)
Maeklong (Firesun) (MKG)
Mahachai (MHI)
Makassar (MAK)
Malacca (MAL)
Manila Habour (MNL)
Maptaphut (MAT)
Marunda (MRD)
Mawei Fuzhou (FOC)
Muara (MUR)
My Tho (MUT)
Nan Tong (NTG)
Narathiwat (NAW)
Nghi Son (NGH)
Ningde (NDE)
Nunukan (NNX)
Oknha Mong Port (OMP)
Onomichi (ONO)
Padang - Telux Buyur (TBR)
PAKAN Baru (PKRU)
Palembang (PLB)
Panjang (PNJ)
Pasir Gudang (PAS)
Patimban (PTB)
Pattani (PTN)
Penang (PNG)
Phnom Penh (PNH)
Phra Chulachomklao Fort (PCF)
Phuket (HKT)
Phumy (PHU)
Plathong Oil Rig (PATO)
Pontianak (POT)
Port Klang (PKL)
Port Moresby (PGPOM)
Poso (POSO)
Pusan (PUS)
Quinzhou (QZH)
Quy Nhon (QNN)
Ranong (UNN)
Rayong (IRPC)
Sampit (SMQ)
Sandakan (SAN)
Sarawak (SRW)
Sarekei (SRK)
Sattahip (SATP)
Semarang - Tanjung Emas (SRG)
Semarang (SRG)
Sibu (SIB)
Singapore (SG)
Sipitang (SIP)
Son Duong (SOD)
Songkhla (SK)
Srihanoville (SIH)
Sriracha Harbor (SRC)
Sritama Jetty (STM)
Steung Hav (SHV)
Sungai Guntung (SGGT)
Surabaya (SUBY)
Surat Thanee (SRT)
Tacloban (TAC)
Tagbilaran (TAG)
Tanjong Manis (TGM)
Tanjung Batu (TJQ)
Tanjung Priok (TP)
Tarjun (TAR)
Tawau (TAW)
Terengganu (TGG)
Tha Sala (TSL)
Tsukumi (TSUM)
Vung Ang (VAG)
Vung Tau (VUT)
Yangon (RGN)
