id,sourcePort,destinationPort,distance
1,Ayutthaya - Bangpain (AB),Bangkok (BK),43
2,Ayutthaya - Bangpain (AB),Ko Sichang (KSI),103
3,Ayutthaya - Bangpain (AB),Pattani (PTN),475
4,Ayutthaya - Bangpain (AB),Songkhla (SK),455
5,Ayutthaya - Bangpain (AB),Surat Thanee (SRT),341
6,Ayutthaya - Nakorn Luang (ANL),Bangkok (BK),90
7,Ayutthaya - Nakorn Luang (ANL),Ko Sichang (KSI),150
8,Ayutthaya - Nakorn Luang (ANL),Pattani (PTN),520
9,Ayutthaya - Nakorn Luang (ANL),Songkhla (SK),500
10,Ayutthaya - Nakorn Luang (ANL),Surat Thanee (SRT),386
11,Bangpakong (BAK),Bahodopi (BHDP),2270
12,Bangpakong (BAK),Bangkok (BK),59
13,Bangpakong (BAK),Balikpapan (BPN),1800
14,Bangpakong (BAK),Bang Sapan (BS),162
15,Bangpakong (BAK),Cat Lai (CLI),675
16,Bangpakong (BAK),Dumai (DMI),1050
17,Bangpakong (BAK),Futong (FTG),1045
18,Bangpakong (BAK),Godau port  (GDP),652
19,Bangpakong (BAK),Khanom (KHM),274
20,Bangpakong (BAK),Kedah (KKH),1245
21,Bangpakong (BAK),Kemaman (KMN),644
22,Bangpakong (BAK),Ko Sichang (KSI),27
23,Bangpakong (BAK),Lahad Datu (LDU),1650
24,Bangpakong (BAK),Lumut (LUM),1150
25,Bangpakong (BAK),Century Harbour (MHI),65
26,Bangpakong (BAK),Maeklong (Firesun) (MKG),68
27,Bangpakong (BAK),Manila Habour (MNL),1540
28,Bangpakong (BAK),My Tho (MUT),760
29,Bangpakong (BAK),Nunukan (NNX),1805
30,Bangpakong (BAK),Singapore (SG),825
31,Bangpakong (BAK),Songkhla (SK),297
32,Bangpakong (BAK),Semarang - Tanjung Emas (SRG),1400
33,Bangpakong (BAK),Surat Thanee (SRT),280
34,Bangpakong (BAK),Tanjung Batu (TJQ),1080
35,Bangpakong (BAK),Can Tho (VCA),590
36,Benoa (Bali) (BAO),Phuket (HKT),1545
37,Benoa (Bali) (BAO),Jakarta (JAK),655
38,Benoa (Bali) (BAO),Kuantan (KT),1121
39,Benoa (Bali) (BAO),Tanjong Manis (TGM),1045
40,BA,Surabaya (SUBY),1360
41,Batam (BAT),Bangkok (BK),861
42,Batam (BAT),Kuantan (KT),196
43,Batam (BAT),Kuching (KUC),423
44,Batam (BAT),Pontianak (POT),336
45,Batam (BAT),Songkhla (SK),490
46,Batam (BAT),Tanjong Manis (TGM),450
47,Batam (BAT),Ranong (UNN),694
48,Bahodopi (BHDP),Bangpakong (BAK),2270
49,Bahodopi (BHDP),Bintulu (BIN),1385
50,Bahodopi (BHDP),Bangkok (BK),2180
51,Bahodopi (BHDP),Bourbon (BOUR),1970
